STT,Type,Name,Address,Price,Rating,Review,Images
1,Nướng,Nướng sạch Ke Pha,"340 P. Thái Hà, Chợ Dừa, Đống Đa,Hà Nội ,Việt Nam",,,,
2,Bún,Bún riêu tóp mỡ,"82 hàng mã,Hà Nội ,Việt Nam",,,,
3,Bánh,Bánh bao phomai,"26 ngõ 639 Hoàng Hoa Thám, Ba Đình,Hà Nội ,Việt Nam",(12k-20k),,,
4,Bánh,Bánh xèo nem lụi,"ngã tư bế văn đàn - nguyễn viết xuân ,Hà Nội ,Việt Nam",,,,
5,Nem,Nem nướng Hoa béo,"117 P. Vũ Tông Phan, Khương Trung, Thanh Xuân,Hà Nội ,Việt Nam",35k,,,
6,Coffee,Aha coffee,"499a Lương Thế Vinh, Mễ Trì, Nam Từ Liêm, Hà Nội ,Việt Nam",,,,
7,Bánh,Bánh xèo,Bánh Xèo 161 ở ngõ 67 Phùng Khoang,,,,
8,Coffee,nhà trong ngõ,"76 Ngõ 23 Nguyễn Khuyến, P. Văn Quán, Hà Đông",,,,
9,Trà sữa,Trà sữa nướng phong vị,"42 Thượng Đình, Thanh Xuân, Hà Nội",,,,
10,Coffee,Hầm Trú Ẩn Hoàng Ngọc Phách,"38 P. Hoàng Ngọc Phách, Láng Hạ, Đống Đa",,,,
11,Coffee,Another Coffee,"Số 1 ngách 49 ngõ 64 Nguyễn Lương Bằng, Đống Đa",,,,
12,Coffee,Bgarden Cafe & Camping,"142 An Dương Vương, Phú Xá, Tây Hồ",,,,
13,Bún,Bún chả Việt,"Số 2 Cầu Giấy, Hà Nội",,,,
14,Coffee,Tut Lang Thang Tea & Coffee,"Số 132 Ng. 245 P. Định Công, Định Công, Hoàng Mai",,,,
15,Bánh,Bánh xèo cô yến,"38 hàng chuối,Hà Nội ,Việt Nam",,,,
16,Bún,Bún Bò Huế Thu Thùy,"18 Đại Cồ Việt, Lê Đại Hành, Hai Bà Trưng,",,,,
17,Bún,Bún bò huế An cự,"153 P. Hoàng Ngân, Trung Hoà",40-55K,,,
18,Coffee,MIRA Florist & Garden,"18 Đại Cồ Việt, Lê Đại Hành, Hai Bà Trưng",35K,,,
19,Bún,Bún cá cay,"178 Xã Đàn ,Đống đa",,,,
20,Gà,"Chân, cánh gà nướng – Zụt Quán","468 Xã Đàn, Đống Đa",,,,
21,Coffee,Quán cafe Mèo và Sách,"Số 63 Trúc Bạch, Ba Đình",,,,
22,Coffee,Coffe Nhà Kho,599 Đê La Thành,,,,
23,Coffee,Coffe Zoom Bao cấp,P110 nhà C6 Vũ Ngọc Phan,,,,
24,Coffee,ATC coffe,"B06 - L01 Khu An Vượng, Hà Đông",50-70K,,,
25,Nướng,Lòng nướng ,389 Khương Trung,,,,
26,Lẩu,"lẩu nướng, TUGI house",Võ thị Sáu,,,,
27,Lẩu,Lẩu Nướng Bình Boong Quán,"209 Đ. Nguyễn Ngọc Vũ, Trung Hoà, Cầu Giấy,",,,,
28,Coffee,Acof Atelier,"Ngõ 1 Khuất Duy Tiến, vào ngõ rẽ trái(112 C4, khu tập thể thanh xuân bắc)",,,,
29,Lẩu,Buffet Lẩu- Nướng Thìn Béo,,,,,
30,Bún,Bún Riêu Huyền Anh," 89 Bế Văn Đàn, Hà Đông",,,,
31,Gà,hoolala chicken Block B,", Mễ Trì, Từ Liêm, Hà Nội",,,,
32,Chè,"quàn chè , bánh đúc lá nếp","115 Nguyễn Lương Bằng, Quang Trung, Đống Đa",,,,
33,Bún,sóc bún riêu,"117 Nguyễn Lương Bằng, Quang Trung, Đống Đa",,,,
34,Gà,mukkbang đồ ăn hàn,số 1 ngõ 69 chùa láng đống đa,,,,
35,Bún,Bún bò, 68 ngõ 69 triều khúc,,,,
36,Nướng,Maya Beer Restaurant,"41 P. Lưu Quang Vũ, Trung Hoà, Cầu Giấy",,,,
37,Coffee,Seul.coffe,"9 lô 2 KĐT Yên Hòa, Trung Kính, Cầu giấy",,,,
38,Coffee,La Grupa,148 Trung Liệt,,,,
39,Gà,Ririmimi,16 Cầu giấy,,,,
40,Gà,Backdon, 19 /180 đình thôn,,,,
41,Bún,Bún chả cá lăng, 80 láng hạ,,,,
42,Coffee,Grootto Cafe, số 20 ngõ 91 Nguyễn Chí Thanh,,,,
43,Coffee,𝐍𝐨𝐧𝐚 𝐂𝐚𝐟𝐞́ 𝐁𝐨𝐚𝐫𝐝𝐠𝐚𝐦𝐞,Số 9 nhà 10 ngõ 95 Chùa Bộc,,,,
44,Bún,Bún cá Chú Lùn,38 đường 2.5 kđt định công.,,,,
45,Bún,Bún chả Việt, 2 cầu giấy.,,,,
46,Bún,Bún Chả -,"110 E3 Thái Thịnh, Đống Đa ",(8h - 15h) (35k - 50k),,,
47,Gà,B - Box," Liền kề 81 Bắc Hà, An Hoà – Mộ Lao – Hà Đông",,,,
48,Bánh,"Bánh Gối, Bánh Tôm -"," 9B Hoè Nhai, Ba Đình",(8h - 19h) (13k - 20k),,,
49,Bún,Quán bún bò gốc Huế,"149 Nguyễn Ngọc Vũ, Trung Hoà, Cầu Giấy, HN.",💸 35k-55k(⏰ 7h-15h & 17h-21h30),,,
50,Lẩu,Lẩu ếch châu long," 33 P. Châu Long, Trúc Bạch, Ba Đình",,,,
51,Lẩu,Lẩu Ếch Hương Mực -," 44 Châu Long, Ba Đình",,,,
52,Coffee,Sam Rooftop Coffee,"58 Ng. 298 Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội, Việt Nam",45-60K,,,
53,Gà,chân gà nướng, số 5 lý văn phúc,,,,
54,Nướng,Bò nướng,bò nướng 13 hàng lược gầm cầu,,,,
55,Nướng,Nướng,nướng 217b khâm thiên,,,,
56,Nướng,Nướng,nướng 90 trần hưng đạo,,,,
57,Nướng,Nướng,"200 Phó Đức Chính, Nguyễn Trung Trực, Ba Đình",,,,
58,Nướng,Bò nướng,"3 P. Gầm Cầu, Hàng Mã, Hoàn Kiếm",,,,
59,Gà,Oanh Quán,"157 Nguyễn Đình Thi, Tây Hồ, HN",,,,
60,Coffee,Xin chào Cafe,Vinhome Smart city,,,,
61,Gà,Quán Ngon 28,"Kiot 28 B14 Ng. 65 P. Phạm Ngọc Thạch, Kim Liên, Đống Đa, Hà Nội, Việt Nam",,,,
62,Bún,bún cá cay,"178 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội",,,,
